ingredient_name,aliases,allergen_category,source,plain_explanation,verified
Milk,Cow's milk | Dairy | Milchprotein,milk,OpenFoodFacts (2019 export) + allergies_10k.csv,Milk straight from cows or other dairy animals; the most common source of dairy allergens and lactose.,true
Casein,Caseinate | Sodium caseinate | Calcium caseinate | Potassium caseinate | Rennet casein,milk,OpenFoodFacts (2019 export) + allergies_10k.csv,"The main protein in milk, often added to processed foods for texture; even 'non-dairy' labeled products can contain it.",true
Whey,Whey protein | Whey protein concentrate | Whey protein isolate | Sweet whey | Delactosed whey,milk,OpenFoodFacts (2019 export) + allergies_10k.csv,The liquid part of milk left after making cheese; commonly dried into a protein powder.,true
Lactose,Milk sugar | Lactosum,milk,AI/ML general food-safety reference (not yet dataset-verified),"The natural sugar found in milk; different from milk protein allergy - causes digestive upset in lactose-intolerant people, not a true immune allergy.",false
Lactalbumin,Lactalbumin phosphate | Alpha-lactalbumin,milk,AI/ML general food-safety reference (not yet dataset-verified),A minor milk protein used to boost protein content or texture in processed foods.,false
Butter,Butterfat | Anhydrous milk fat | Ghee,milk,AI/ML general food-safety reference (not yet dataset-verified),Fat churned from cream; contains milk proteins in trace amounts even though it is mostly fat.,false
Buttermilk,Cultured buttermilk | Buttermilk powder,milk,OpenFoodFacts (2019 export),"The liquid left after churning butter, or a cultured dairy product; contains milk proteins.",true
Ghee,Clarified butter,milk,AI/ML general food-safety reference (not yet dataset-verified),Butter that has been simmered to remove milk solids and water; trace milk protein may still remain.,false
Cream,Heavy cream | Light cream | Whipping cream | Half and half,milk,AI/ML general food-safety reference (not yet dataset-verified),The fatty layer skimmed from milk; contains milk protein.,false
Cheese powder,Cheese flavor powder | Dehydrated cheese,milk,AI/ML general food-safety reference (not yet dataset-verified),"Dried, powdered cheese used to add cheesy flavor to snack foods.",false
Milk solids,Nonfat milk solids | Dry milk solids | Milk powder,milk,OpenFoodFacts (2019 export),Concentrated milk with the water removed; used to add body/protein to processed foods.,true
